log_id,planta_id,activo_id,fecha_hora,tipo_evento_id,descripcion
63,2,,2024-01-06 14:00:00.000000,20,normal
64,1,,2024-01-06 14:00:00.000000,20,normal
65,2,53.0,2024-01-06 19:06:34.655292,18,sin intervencion
66,2,56.0,2024-01-06 21:08:52.294912,14,OK
67,4,,2024-01-06 22:00:00.000000,20,s/n
68,3,,2024-01-06 22:00:00.000000,20,ok
69,5,,2024-01-06 22:00:00.000000,22,normal
70,4,96.0,2024-01-07 03:19:29.784022,13,OK
71,1,,2024-01-07 06:00:00.000000,21,ok
72,4,,2024-01-07 06:00:00.000000,20,s/n
73,3,,2024-01-07 06:00:00.000000,19,normal
74,2,39.0,2024-01-07 08:21:27.930410,18,operador reseteo
75,1,30.0,2024-01-07 09:58:27.978667,5,
76,1,30.0,2024-01-07 12:14:13.381440,7,OK
77,1,15.0,2024-01-07 13:18:05.034668,5,ver OT
78,5,,2024-01-07 14:00:00.000000,21,s/n
79,4,,2024-01-07 14:00:00.000000,19,
80,1,,2024-01-07 14:00:00.000000,19,s/n
81,1,15.0,2024-01-07 18:26:12.332631,9,arranque normal
82,1,,2024-01-07 22:00:00.000000,20,s/n
83,3,,2024-01-07 22:00:00.000000,22,
84,4,,2024-01-07 22:00:00.000000,22,
85,2,,2024-01-07 22:00:00.000000,20,
86,3,,2024-01-08 06:00:00.000000,21,ok
87,5,,2024-01-08 06:00:00.000000,21,
88,4,,2024-01-08 06:00:00.000000,20,s/n
89,2,,2024-01-08 06:00:00.000000,20,normal
90,1,14.0,2024-01-08 06:11:22.717568,14,DRN OK
91,3,77.0,2024-01-08 06:22:22.945454,13,purga completa
92,1,14.0,2024-01-08 07:12:54.295977,16,sin intervencion
93,1,,2024-01-08 08:38:18.602778,26,
94,4,,2024-01-08 12:58:59.938431,23,aviso proveedor externo
95,4,,2024-01-08 14:00:00.000000,21,s/n
96,2,59.0,2024-01-08 14:45:33.014011,13,sin novedad
97,2,61.0,2024-01-08 17:19:22.209176,11,sin novedad
98,5,144.0,2024-01-08 19:33:04.939625,18,sin intervencion
99,2,41.0,2024-01-08 19:45:11.019732,4,ver OT
100,3,,2024-01-08 22:00:00.000000,20,ok
101,2,,2024-01-08 22:00:00.000000,21,normal
102,5,,2024-01-08 22:00:00.000000,22,normal
103,4,,2024-01-08 22:00:00.000000,21,normal
104,1,,2024-01-08 22:00:00.000000,22,s/n
105,4,92.0,2024-01-08 23:17:12.303606,17,sin intervencion
106,3,73.0,2024-01-08 23:28:24.116483,12,DRN OK
107,2,41.0,2024-01-09 01:47:44.604344,9,
108,5,140.0,2024-01-09 04:21:37.976153,13,purga completa
109,2,,2024-01-09 06:00:00.000000,20,normal
110,5,,2024-01-09 06:00:00.000000,20,normal
111,1,15.0,2024-01-09 12:50:15.011831,18,operador reseteo
112,2,,2024-01-09 14:00:00.000000,22,ok
113,2,39.0,2024-01-09 14:27:26.237555,14,sin novedad
114,2,57.0,2024-01-09 16:16:04.961036,11,
115,4,109.0,2024-01-09 17:07:42.871348,13,sin novedad
116,1,25.0,2024-01-09 17:34:28.028654,12,
117,3,64.0,2024-01-09 18:40:51.407453,18,sin intervencion
118,3,,2024-01-09 22:00:00.000000,20,s/n
119,5,,2024-01-09 22:00:00.000000,20,ok
120,2,45.0,2024-01-09 22:25:57.117349,10,OK
121,5,115.0,2024-01-10 01:53:27.709773,13,DRN OK
122,1,,2024-01-10 06:00:00.000000,21,ok
123,3,,2024-01-10 06:00:00.000000,21,normal
124,2,,2024-01-10 06:00:00.000000,19,
125,3,81.0,2024-01-10 11:20:28.723437,10,ok.
126,4,,2024-01-10 14:00:00.000000,22,
127,1,,2024-01-10 14:00:00.000000,22,
128,3,,2024-01-10 14:00:00.000000,20,s/n
129,5,,2024-01-10 14:00:00.000000,21,s/n
130,2,,2024-01-10 14:00:00.000000,20,s/n
131,2,57.0,2024-01-10 14:17:11.943755,14,DRN OK
132,2,45.0,2024-01-10 16:11:19.638509,10,DRN OK
133,4,100.0,2024-01-10 19:46:44.008195,14,DRN OK
134,2,61.0,2024-01-10 21:07:30.396096,18,operador reseteo
135,1,,2024-01-10 22:00:00.000000,20,
136,1,,2024-01-11 06:00:00.000000,19,normal
137,1,37.0,2024-01-11 11:11:45.605445,11,sin novedad
138,2,,2024-01-11 14:00:00.000000,21,s/n
139,4,,2024-01-11 14:00:00.000000,22,s/n
140,5,,2024-01-11 14:00:00.000000,19,s/n
141,2,46.0,2024-01-11 16:37:10.990821,14,sin novedad
142,1,,2024-01-11 22:00:00.000000,21,s/n
143,4,,2024-01-12 06:00:00.000000,20,
144,5,,2024-01-12 14:00:00.000000,22,s/n
145,3,,2024-01-12 22:00:00.000000,22,s/n
146,1,,2024-01-12 22:00:00.000000,22,normal
147,5,136.0,2024-01-13 05:08:25.032588,16,restablecida sola
148,3,,2024-01-13 06:00:00.000000,22,normal
149,1,,2024-01-13 06:00:00.000000,19,
150,1,,2024-01-13 08:48:55.965302,28,ver informe adjunto
151,2,,2024-01-13 14:00:00.000000,22,s/n
152,5,,2024-01-13 14:00:00.000000,19,normal
153,4,,2024-01-13 14:00:00.000000,22,s/n
154,1,12.0,2024-01-13 14:21:35.728138,11,ok.
155,5,138.0,2024-01-13 17:44:06.795219,12,
156,4,,2024-01-13 22:00:00.000000,20,s/n
157,3,68.0,2024-01-14 00:35:37.922518,13,DRN OK
158,3,,2024-01-14 01:46:01.018029,27,aviso proveedor externo
159,1,20.0,2024-01-14 02:18:59.315536,14,DRN OK
160,4,,2024-01-14 06:00:00.000000,20,ok
161,5,114.0,2024-01-14 12:13:06.783004,14,OK
162,2,,2024-01-14 14:00:00.000000,22,
163,1,,2024-01-14 14:00:00.000000,22,ok
164,4,,2024-01-14 14:00:00.000000,22,ok
165,3,,2024-01-14 14:00:00.000000,19,
166,1,27.0,2024-01-14 20:52:32.720841,1,por mantenimiento
167,2,41.0,2024-01-14 21:12:30.947426,11,sin novedad
168,4,,2024-01-14 22:00:00.000000,22,normal
169,5,,2024-01-14 22:00:00.000000,20,normal
170,2,,2024-01-14 22:00:00.000000,19,ok
171,1,,2024-01-14 22:00:00.000000,21,s/n
172,2,46.0,2024-01-15 01:53:39.428405,10,purga completa
173,2,46.0,2024-01-15 03:47:39.600683,10,ok.
174,3,66.0,2024-01-15 03:58:47.311811,1,ver OT
175,3,77.0,2024-01-15 04:42:10.415183,10,purga completa
176,2,,2024-01-15 06:00:00.000000,20,s/n
177,1,,2024-01-15 06:00:00.000000,22,normal
178,5,,2024-01-15 14:00:00.000000,20,normal
179,4,,2024-01-15 14:00:00.000000,20,s/n
180,2,,2024-01-15 14:00:00.000000,19,normal
181,4,91.0,2024-01-15 15:28:42.494458,11,OK
182,4,,2024-01-15 22:00:00.000000,20,normal
183,1,,2024-01-15 22:00:00.000000,19,s/n
184,2,,2024-01-15 22:00:00.000000,22,ok
185,3,,2024-01-15 22:00:00.000000,19,
186,1,30.0,2024-01-15 23:19:55.080962,18,sin intervencion
187,3,66.0,2024-01-15 23:24:36.413157,9,OK
188,2,59.0,2024-01-16 01:58:23.217071,17,restablecida sola
189,2,,2024-01-16 06:00:00.000000,19,normal
190,3,,2024-01-16 06:00:00.000000,21,ok
191,1,,2024-01-16 06:00:00.000000,20,ok
192,4,100.0,2024-01-16 08:24:52.029317,15,operador reseteo
193,4,109.0,2024-01-16 11:31:49.427212,18,restablecida sola
194,1,,2024-01-16 14:00:00.000000,19,
195,5,,2024-01-16 14:00:00.000000,21,normal
196,2,,2024-01-16 18:42:19.988220,29,
197,1,27.0,2024-01-16 18:48:36.433029,7,OK
198,2,54.0,2024-01-16 20:01:17.281132,12,DRN OK
199,3,,2024-01-16 22:00:00.000000,22,normal
200,5,,2024-01-16 22:00:00.000000,19,
201,4,,2024-01-16 22:00:00.000000,20,s/n
202,2,,2024-01-16 22:00:00.000000,21,normal
203,3,81.0,2024-01-16 23:42:01.429369,13,
204,2,54.0,2024-01-17 03:22:35.549536,13,DRN OK
205,1,19.0,2024-01-17 03:31:40.709300,14,sin novedad
206,2,,2024-01-17 06:00:00.000000,22,
207,1,,2024-01-17 06:00:00.000000,21,ok
208,4,,2024-01-17 06:00:00.000000,19,ok
209,3,,2024-01-17 06:00:00.000000,20,
210,4,112.0,2024-01-17 06:55:43.558376,3,ver OT
211,4,112.0,2024-01-17 08:58:35.780598,6,
212,1,,2024-01-17 14:00:00.000000,22,ok
213,2,,2024-01-17 14:00:00.000000,19,normal
214,5,,2024-01-17 14:00:00.000000,20,ok
215,3,,2024-01-17 14:00:00.000000,21,ok
216,2,,2024-01-17 22:00:00.000000,19,s/n
217,5,,2024-01-17 22:00:00.000000,20,normal
218,1,,2024-01-17 22:00:00.000000,20,
219,4,,2024-01-18 06:00:00.000000,20,
220,5,,2024-01-18 06:00:00.000000,20,normal
221,4,88.0,2024-01-18 07:14:18.405582,4,por mantenimiento
222,5,123.0,2024-01-18 09:05:29.134702,10,ok.
223,4,88.0,2024-01-18 12:51:10.892852,7,
224,4,112.0,2024-01-18 15:19:33.856312,11,ok.
225,1,2.0,2024-01-18 18:30:34.224903,13,purga completa
226,3,70.0,2024-01-18 21:05:03.657414,18,operador reseteo
227,4,,2024-01-18 22:00:00.000000,19,
228,3,,2024-01-18 22:00:00.000000,20,
229,4,96.0,2024-01-19 05:13:32.662239,17,operador reseteo
230,1,5.0,2024-01-19 05:26:49.537149,12,purga completa
231,4,,2024-01-19 06:00:00.000000,20,ok
232,3,,2024-01-19 06:00:00.000000,22,normal
233,5,,2024-01-19 06:00:00.000000,22,
234,3,66.0,2024-01-19 06:04:09.057059,10,ok.
235,1,17.0,2024-01-19 06:40:07.066091,13,sin novedad
236,3,64.0,2024-01-19 07:44:06.666892,13,DRN OK
237,1,2.0,2024-01-19 12:29:38.850524,14,
238,3,,2024-01-19 14:00:00.000000,20,s/n
239,1,17.0,2024-01-19 16:09:27.853041,14,ok.
240,3,68.0,2024-01-19 20:07:18.310861,14,DRN OK
241,5,,2024-01-19 22:00:00.000000,21,ok
242,1,,2024-01-19 22:00:00.000000,19,
243,2,,2024-01-19 22:00:00.000000,22,s/n
244,1,18.0,2024-01-20 02:52:17.521369,14,OK
245,2,,2024-01-20 06:00:00.000000,20,ok
246,1,18.0,2024-01-20 07:15:18.796566,12,sin novedad
247,4,95.0,2024-01-20 11:40:45.280819,12,
248,3,,2024-01-20 14:00:00.000000,22,
249,5,142.0,2024-01-20 14:26:06.415637,17,sin intervencion
250,4,91.0,2024-01-20 15:33:15.650894,3,por mantenimiento
251,4,,2024-01-20 22:00:00.000000,20,
252,2,,2024-01-20 22:00:00.000000,19,
253,3,79.0,2024-01-21 03:08:32.109509,12,OK
254,3,80.0,2024-01-21 04:17:51.523871,12,sin novedad
255,5,,2024-01-21 06:00:00.000000,19,normal
256,2,,2024-01-21 06:00:00.000000,22,normal
257,1,,2024-01-21 06:00:00.000000,22,normal
258,4,,2024-01-21 06:00:00.000000,20,
259,3,,2024-01-21 06:00:00.000000,19,s/n
260,1,19.0,2024-01-21 06:43:32.450892,10,purga completa
261,3,73.0,2024-01-21 09:04:26.483094,18,operador reseteo
262,2,41.0,2024-01-21 10:27:47.957457,14,purga completa
263,4,,2024-01-21 14:00:00.000000,21,ok
264,5,,2024-01-21 14:00:00.000000,21,
265,4,91.0,2024-01-21 15:36:42.004941,9,OK
266,2,57.0,2024-01-21 21:54:36.779101,14,DRN OK
267,2,,2024-01-21 22:00:00.000000,20,normal
268,2,61.0,2024-01-22 00:34:20.625116,15,operador reseteo
269,2,57.0,2024-01-22 00:34:42.533647,10,OK
270,4,92.0,2024-01-22 00:57:48.121502,12,ok.
271,5,126.0,2024-01-22 01:33:25.152273,10,sin novedad
272,3,65.0,2024-01-22 05:25:45.294009,16,operador reseteo
273,5,,2024-01-22 06:00:00.000000,21,normal
274,4,,2024-01-22 06:00:00.000000,21,
275,2,,2024-01-22 06:00:00.000000,20,
276,1,,2024-01-22 06:00:00.000000,22,ok
277,3,81.0,2024-01-22 07:01:01.105680,17,restablecida sola
278,3,77.0,2024-01-22 07:06:03.684764,12,purga completa
279,2,55.0,2024-01-22 07:11:57.684571,17,operador reseteo
280,4,98.0,2024-01-22 08:24:56.287872,10,sin novedad
281,1,17.0,2024-01-22 13:26:16.659632,2,ver OT
282,3,,2024-01-22 14:00:00.000000,19,s/n
283,5,,2024-01-22 14:00:00.000000,21,ok
284,2,,2024-01-22 14:00:00.000000,21,s/n
285,1,,2024-01-22 14:00:00.000000,20,ok
286,2,41.0,2024-01-22 17:12:15.358537,17,operador reseteo
287,1,17.0,2024-01-22 18:08:52.502593,16,restablecida sola
288,4,85.0,2024-01-22 20:16:14.955370,13,
289,4,,2024-01-22 22:00:00.000000,21,
290,3,,2024-01-22 22:00:00.000000,22,s/n
291,5,,2024-01-22 22:00:00.000000,20,
292,1,36.0,2024-01-23 03:52:09.030911,14,purga completa
293,2,,2024-01-23 06:00:00.000000,20,
294,1,,2024-01-23 06:00:00.000000,19,
295,4,,2024-01-23 06:00:00.000000,22,ok
296,3,,2024-01-23 06:00:00.000000,21,
297,1,19.0,2024-01-23 06:34:08.162433,1,ver OT
298,5,135.0,2024-01-23 08:49:24.518354,3,
299,1,19.0,2024-01-23 12:14:54.752993,9,
300,3,,2024-01-23 14:00:00.000000,22,
301,4,,2024-01-23 14:00:00.000000,19,ok
302,2,,2024-01-23 14:00:00.000000,19,
303,5,135.0,2024-01-23 14:33:59.545314,6,arranque normal
304,2,44.0,2024-01-23 20:26:00.389878,18,restablecida sola
305,1,,2024-01-23 22:00:00.000000,20,ok
306,4,,2024-01-23 22:00:00.000000,21,ok
307,3,,2024-01-23 22:00:00.000000,22,
308,5,,2024-01-23 22:00:00.000000,22,ok
309,2,,2024-01-23 22:00:00.000000,20,ok
310,4,92.0,2024-01-24 01:51:00.528955,10,purga completa
311,1,17.0,2024-01-24 05:55:40.508074,7,reanuda produccion
312,4,,2024-01-24 06:00:00.000000,19,normal
313,1,,2024-01-24 06:00:00.000000,22,normal
314,3,72.0,2024-01-24 06:47:42.305065,12,DRN OK
315,3,68.0,2024-01-24 06:59:53.480063,12,
316,3,,2024-01-24 14:00:00.000000,21,
317,2,,2024-01-24 14:00:00.000000,22,normal
318,4,87.0,2024-01-24 15:20:50.308163,11,sin novedad
319,5,121.0,2024-01-24 17:38:20.832965,17,operador reseteo
320,5,140.0,2024-01-24 21:53:28.636530,16,operador reseteo
321,4,,2024-01-24 22:00:00.000000,20,ok
322,5,,2024-01-24 22:00:00.000000,22,s/n
323,3,,2024-01-25 06:00:00.000000,22,s/n
324,5,141.0,2024-01-25 06:31:22.765584,18,restablecida sola
325,3,75.0,2024-01-25 10:56:29.312200,11,ok.
326,2,,2024-01-25 14:00:00.000000,20,
327,3,,2024-01-25 14:00:00.000000,20,
328,1,3.0,2024-01-25 14:17:38.608840,13,
329,1,18.0,2024-01-25 14:58:19.898841,11,
330,3,,2024-01-25 22:00:00.000000,19,s/n
331,5,,2024-01-25 22:00:00.000000,20,normal
332,2,53.0,2024-01-25 23:18:34.977394,18,sin intervencion
333,3,76.0,2024-01-26 00:29:21.557137,16,restablecida sola
334,1,6.0,2024-01-26 04:58:17.100554,13,purga completa
335,2,,2024-01-26 06:00:00.000000,21,normal
336,3,,2024-01-26 06:00:00.000000,20,normal
337,3,68.0,2024-01-26 06:09:29.549630,11,purga completa
338,4,108.0,2024-01-26 08:42:23.392133,13,purga completa
339,5,,2024-01-26 14:00:00.000000,22,ok
340,1,5.0,2024-01-26 18:56:56.460284,13,purga completa
341,3,80.0,2024-01-26 21:23:58.113401,11,DRN OK
342,5,138.0,2024-01-26 21:55:09.082401,12,sin novedad
343,4,,2024-01-26 22:00:00.000000,20,normal
344,3,64.0,2024-01-27 01:57:04.568127,13,ok.
345,1,,2024-01-27 06:00:00.000000,22,ok
346,5,,2024-01-27 06:00:00.000000,21,ok
347,5,125.0,2024-01-27 10:20:28.698216,12,ok.
348,3,66.0,2024-01-27 10:21:51.541483,15,sin intervencion
349,1,,2024-01-27 14:00:00.000000,20,ok
350,3,70.0,2024-01-27 14:48:14.282601,18,restablecida sola
351,1,13.0,2024-01-27 20:47:10.286349,5,
352,3,,2024-01-27 22:00:00.000000,22,normal
353,5,,2024-01-27 22:00:00.000000,21,s/n
354,5,130.0,2024-01-28 00:44:14.868936,16,restablecida sola
355,1,,2024-01-28 01:02:02.734874,24,
356,3,73.0,2024-01-28 03:50:23.235042,13,
357,3,73.0,2024-01-28 04:20:56.083571,11,ok.
358,4,,2024-01-28 06:00:00.000000,22,
359,2,,2024-01-28 06:00:00.000000,20,ok
360,3,,2024-01-28 06:00:00.000000,20,s/n
361,4,98.0,2024-01-28 06:06:46.876338,14,purga completa
362,3,77.0,2024-01-28 06:13:07.320620,10,DRN OK
363,5,,2024-01-28 14:00:00.000000,22,ok
364,3,,2024-01-28 14:00:00.000000,22,ok
365,5,,2024-01-28 15:54:44.612979,23,ver informe adjunto
366,4,,2024-01-28 22:00:00.000000,21,normal
367,2,,2024-01-28 22:00:00.000000,21,normal
368,1,,2024-01-28 22:00:00.000000,22,normal
369,4,111.0,2024-01-29 00:40:34.823316,12,sin novedad
370,2,,2024-01-29 06:00:00.000000,20,normal
371,3,,2024-01-29 06:00:00.000000,20,s/n
372,5,,2024-01-29 06:00:00.000000,21,
373,2,41.0,2024-01-29 06:15:01.234349,14,purga completa
374,1,21.0,2024-01-29 08:14:19.592334,11,
375,2,54.0,2024-01-29 10:03:08.458381,14,purga completa
376,4,100.0,2024-01-29 13:35:40.204981,15,operador reseteo
377,1,,2024-01-29 14:00:00.000000,20,
378,4,,2024-01-29 14:00:00.000000,22,
379,5,,2024-01-29 14:00:00.000000,21,normal
380,1,13.0,2024-01-29 20:01:29.876540,8,arranque normal
381,4,99.0,2024-01-29 20:49:02.556262,13,
382,1,,2024-01-29 22:00:00.000000,22,
383,1,2.0,2024-01-30 03:58:17.565860,11,
384,1,,2024-01-30 06:00:00.000000,19,ok
385,2,,2024-01-30 06:00:00.000000,22,
386,2,51.0,2024-01-30 10:32:53.050700,18,restablecida sola
387,2,47.0,2024-01-30 10:46:52.609069,18,sin intervencion
388,2,41.0,2024-01-30 10:57:36.174611,18,operador reseteo
389,1,,2024-01-30 15:26:54.265601,23,ver informe adjunto
390,3,73.0,2024-01-30 15:48:48.587947,10,
391,4,93.0,2024-01-30 16:13:07.266765,18,sin intervencion
392,3,69.0,2024-01-30 21:36:28.770743,17,restablecida sola
393,1,,2024-01-30 22:00:00.000000,20,normal
394,2,,2024-01-30 22:00:00.000000,22,ok
395,2,54.0,2024-01-30 22:43:18.422989,16,restablecida sola
396,2,,2024-01-31 00:01:49.012914,29,
397,2,40.0,2024-01-31 00:45:53.198877,11,purga completa
398,1,,2024-01-31 06:00:00.000000,20,ok
399,4,112.0,2024-01-31 08:51:39.555629,18,sin intervencion
400,2,,2024-01-31 14:00:00.000000,21,s/n
401,5,127.0,2024-01-31 15:31:06.889460,5,PARADA POR FALLA
402,5,114.0,2024-01-31 20:31:51.659740,17,operador reseteo
403,1,,2024-01-31 22:00:00.000000,21,ok
404,2,,2024-01-31 22:00:00.000000,20,normal
405,5,,2024-01-31 22:00:00.000000,21,s/n
406,5,146.0,2024-02-01 03:09:13.568204,13,sin novedad
407,5,127.0,2024-02-01 03:19:21.156385,8,arranque normal
408,1,,2024-02-01 06:00:00.000000,20,s/n
409,4,,2024-02-01 06:00:00.000000,21,normal
410,1,,2024-02-01 14:00:00.000000,21,normal
411,4,,2024-02-01 14:00:00.000000,22,normal
412,4,88.0,2024-02-01 18:46:40.383402,11,sin novedad
413,3,,2024-02-01 22:00:00.000000,19,normal
414,3,73.0,2024-02-01 23:40:19.666766,14,sin novedad
415,2,42.0,2024-02-02 05:02:22.472799,3,PARADA POR FALLA
416,3,75.0,2024-02-02 05:19:29.883121,11,sin novedad
417,4,,2024-02-02 06:00:00.000000,21,ok
418,2,,2024-02-02 06:00:00.000000,21,s/n
419,5,134.0,2024-02-02 07:26:11.013585,12,
420,5,122.0,2024-02-02 08:05:55.293968,13,purga completa
421,3,77.0,2024-02-02 08:11:05.626700,13,purga completa
422,2,59.0,2024-02-02 10:34:23.169838,18,restablecida sola
423,4,,2024-02-02 14:00:00.000000,22,ok
424,2,,2024-02-02 14:00:00.000000,22,normal
425,5,,2024-02-02 14:00:00.000000,22,s/n
426,5,126.0,2024-02-02 19:27:33.124535,17,operador reseteo
427,5,,2024-02-02 22:00:00.000000,20,s/n
428,1,,2024-02-02 22:00:00.000000,22,normal
429,2,,2024-02-02 22:00:00.000000,22,normal
430,4,,2024-02-02 22:00:00.000000,21,s/n
431,4,84.0,2024-02-03 05:20:41.151084,18,sin intervencion
432,1,,2024-02-03 06:00:00.000000,19,normal
433,3,,2024-02-03 06:00:00.000000,22,s/n
434,4,,2024-02-03 06:00:00.000000,22,ok
435,5,,2024-02-03 06:00:00.000000,21,normal
436,3,75.0,2024-02-03 09:58:55.870262,2,
437,3,,2024-02-03 12:04:14.606767,27,ver informe adjunto
438,3,81.0,2024-02-03 17:13:36.167705,10,
439,3,73.0,2024-02-03 21:40:30.227662,17,restablecida sola
440,1,,2024-02-03 22:00:00.000000,22,
441,5,,2024-02-03 22:00:00.000000,19,ok
442,2,,2024-02-03 22:00:00.000000,22,s/n
443,3,68.0,2024-02-03 23:23:33.516839,11,ok.
444,2,42.0,2024-02-04 01:08:12.986790,6,OK
445,2,48.0,2024-02-04 01:36:25.109917,14,ok.
446,3,75.0,2024-02-04 02:27:36.773901,7,arranque normal
447,1,32.0,2024-02-04 02:40:46.883251,10,ok.
448,3,71.0,2024-02-04 02:58:57.301658,14,OK
449,5,,2024-02-04 06:00:00.000000,20,s/n
450,5,127.0,2024-02-04 08:38:47.493862,11,OK
451,2,57.0,2024-02-04 10:18:53.011434,12,
452,5,,2024-02-04 14:00:00.000000,20,
453,1,,2024-02-04 14:00:00.000000,19,normal
454,2,,2024-02-04 14:00:00.000000,20,ok
455,5,135.0,2024-02-04 14:52:55.778596,2,PARADA POR FALLA
456,4,107.0,2024-02-04 16:19:01.138461,11,
457,4,83.0,2024-02-04 19:46:00.989545,11,DRN OK
458,2,,2024-02-04 22:00:00.000000,19,
459,1,,2024-02-04 22:00:00.000000,19,normal
460,1,26.0,2024-02-05 00:32:28.139981,15,sin intervencion
461,1,,2024-02-05 06:00:00.000000,19,ok
462,5,135.0,2024-02-05 07:55:18.360152,9,reanuda produccion
463,4,104.0,2024-02-05 10:42:21.519181,12,purga completa
464,5,,2024-02-05 14:00:00.000000,22,ok
465,2,,2024-02-05 14:00:00.000000,22,
466,4,,2024-02-05 14:00:00.000000,19,
467,1,,2024-02-05 14:00:00.000000,22,ok
468,3,,2024-02-05 14:00:00.000000,22,
469,2,42.0,2024-02-05 18:24:40.219429,14,purga completa
470,4,111.0,2024-02-05 19:10:32.108564,10,DRN OK
471,2,44.0,2024-02-05 19:27:30.300834,13,DRN OK
472,2,48.0,2024-02-05 21:16:23.307780,13,DRN OK
473,4,,2024-02-05 22:00:00.000000,21,s/n
474,3,,2024-02-05 22:00:00.000000,21,
475,2,,2024-02-05 22:00:00.000000,21,ok
476,1,20.0,2024-02-06 03:44:25.864734,14,sin novedad
477,5,118.0,2024-02-06 05:32:54.884506,18,restablecida sola
478,4,,2024-02-06 06:00:00.000000,22,s/n
479,2,,2024-02-06 06:00:00.000000,21,s/n
480,1,13.0,2024-02-06 06:32:26.110835,12,ok.
481,1,32.0,2024-02-06 12:29:30.171682,13,purga completa
482,1,,2024-02-06 14:00:00.000000,22,
483,2,,2024-02-06 14:00:00.000000,21,s/n
484,4,,2024-02-06 14:00:00.000000,22,ok
485,3,,2024-02-06 14:00:00.000000,22,ok
486,3,68.0,2024-02-06 15:32:33.337077,11,DRN OK
487,4,,2024-02-06 22:00:00.000000,20,ok
488,2,,2024-02-06 22:00:00.000000,20,ok
489,3,,2024-02-06 22:00:00.000000,21,s/n
490,1,,2024-02-06 22:00:00.000000,20,ok
491,4,88.0,2024-02-06 22:20:47.840820,12,DRN OK
492,2,42.0,2024-02-07 05:44:47.640978,10,DRN OK
493,3,,2024-02-07 06:00:00.000000,19,normal
