evento_id,repuesto_id,cantidad_utilizada,costo_unitario_momento
510,1,1.5,46689.78
516,9,3.6,33779.06
516,12,4.5,6755.81
518,9,4.9,34671.98
521,14,1.0,35125.18
522,4,4.9,132472.79
527,1,2.9,39586.2
530,6,2.4,7789.48
545,12,4.0,8926.42
546,4,3.1,140145.65
548,1,2.3,38080.6
548,2,1.1,2707.95
548,6,1.1,7193.0
551,9,4.3,29844.87
551,5,3.0,15917.27
551,10,1.5,124353.64
552,7,3.4,5719.01
554,13,3.7,78922.22
557,1,4.7,25906.95
557,6,3.9,4893.54
560,8,2.4,6997.75
560,15,3.9,1166.29
566,14,3.6,31443.16
566,2,3.0,1829.42
567,4,4.2,112740.91
578,6,1.4,4370.67
582,11,4.1,2058.22
584,1,2.5,31833.89
588,1,1.4,25407.02
588,12,3.2,6775.21
593,15,2.2,1110.14
597,3,3.1,1236.44
597,5,3.2,14130.74
598,9,3.8,36141.4
601,8,3.1,7190.36
602,3,3.0,1644.17
606,1,1.8,22277.64
611,4,4.2,80103.55
612,7,3.0,4209.29
614,1,3.9,23112.93
614,3,3.0,1438.14
614,5,4.5,16435.86
615,1,3.8,20630.34
619,3,4.1,1852.13
628,14,4.2,22554.52
630,13,2.9,39264.48
632,3,1.1,1260.74
633,1,2.7,19544.61
633,8,3.7,6514.87
641,10,2.2,169266.0
644,11,4.6,3693.88
644,13,4.1,83552.0
650,1,4.8,17112.56
651,10,1.2,99660.47
652,15,2.6,1172.9
655,5,3.8,17742.09
656,12,4.0,6123.62
656,5,2.6,16329.66
658,1,2.9,27257.87
661,10,3.1,219523.93
663,4,3.5,167006.96
665,14,3.9,52493.23
669,14,1.8,29004.65
669,15,4.7,1318.39
670,4,2.9,92375.57
670,5,4.9,16422.32
671,7,2.0,4569.65
671,4,4.0,86582.83
673,5,3.6,18144.07
675,8,4.7,8630.98
677,10,4.1,152588.04
677,9,3.9,36621.13
678,6,3.7,5891.82
679,13,2.8,79073.71
680,6,4.5,6910.67
684,10,1.8,228485.26
684,4,3.8,164509.39
685,6,1.9,7071.26
686,7,4.6,8948.21
686,11,4.5,3956.05
691,9,4.2,27982.3
694,12,4.4,7907.92
695,10,4.3,163394.48
695,15,1.3,1633.94
695,2,2.0,2091.45
696,9,2.8,41734.36
711,15,1.6,1180.63
712,8,2.6,7776.81
712,10,4.5,129613.48
715,13,2.3,56473.01
715,7,3.9,5647.3
715,5,3.1,19022.49
716,14,3.0,36314.75
717,7,3.1,6001.58
717,4,2.5,113714.09
718,15,1.4,1713.94
718,5,3.5,21938.47
719,6,3.7,5745.28
721,8,3.5,13868.24
721,13,3.1,87832.2
723,3,4.0,2667.05
726,7,4.6,3783.66
727,15,3.0,1113.64
728,14,3.7,25873.08
728,8,4.1,7056.29
728,11,4.9,1975.76
730,10,2.8,132265.97
731,7,1.2,5716.11
734,13,2.3,67865.22
734,9,3.3,42862.24
734,15,3.9,1785.93
736,11,2.8,2826.25
736,13,1.2,63927.09
738,15,1.8,2145.67
738,11,1.4,3604.72
738,10,1.3,214566.68
741,6,4.3,8443.15
741,1,4.8,44699.04
744,6,3.3,4346.51
745,14,2.6,28957.28
749,2,1.8,1952.23
752,3,1.4,2077.39
753,8,2.6,11808.44
756,4,3.0,164603.46
757,6,3.9,7815.89
758,5,3.9,28169.87
758,6,3.6,7482.62
760,2,2.6,3124.23
763,7,2.7,4289.66
765,2,1.4,1441.11
767,14,4.7,28446.47
770,6,2.9,5213.56
771,1,3.3,27904.96
773,1,3.6,28848.21
773,2,1.9,2051.43
776,8,1.3,13316.9
778,4,4.2,148887.77
780,2,4.3,3103.02
781,7,3.5,10268.17
781,3,4.9,3026.41
781,11,2.6,4539.61
783,10,4.8,118944.58
788,9,4.1,32285.38
800,14,5.0,52876.87
803,3,1.0,1234.43
803,13,4.7,41882.61
805,9,3.2,27622.29
805,11,1.3,1933.56
809,2,1.3,1752.32
809,11,1.4,2299.92
810,2,4.5,1612.1
810,10,2.8,125944.94
811,11,2.5,2308.54
811,2,3.8,1758.89
812,5,2.1,18610.33
813,7,1.8,5523.86
815,13,3.8,59215.42
819,9,4.5,46142.55
820,15,4.7,2081.47
821,10,2.5,224866.22
821,15,2.2,2248.66
822,3,4.5,2365.19
822,10,2.2,211177.84
828,4,2.7,80680.49
829,4,1.2,88699.38
832,7,4.7,5601.32
833,13,3.8,52835.64
834,14,4.0,31914.13
834,2,2.5,1856.82
840,15,3.4,1754.09
841,9,3.0,43858.18
842,6,4.1,7284.37
842,5,4.4,27423.5
845,14,3.2,52163.79
848,12,4.3,5443.24
850,10,2.5,114070.84
855,3,3.0,1378.01
857,4,3.8,101081.43
857,14,1.3,30885.99
862,6,1.6,6251.4
864,8,4.1,12532.1
877,4,1.6,81469.24
878,3,3.7,1533.42
878,8,4.1,8214.77
880,1,4.5,34370.11
880,5,4.3,24440.97
880,13,4.6,72559.13
883,1,1.8,38118.65
884,9,4.2,54051.02
886,12,4.5,5634.15
888,13,3.0,52832.15
888,14,1.8,30587.03
890,4,3.8,114789.8
890,5,1.1,20407.08
891,5,2.1,26320.34
895,14,2.2,23955.51
899,8,2.6,8079.81
899,9,2.6,32319.24
900,11,3.1,2622.79
900,6,3.8,5308.02
905,11,2.2,4199.9
905,5,2.1,31999.24
906,7,1.7,3551.68
906,10,1.3,93465.15
906,9,4.3,22431.64
907,10,1.1,118469.36
907,13,2.9,45018.36
907,12,3.4,5686.53
908,1,3.0,23078.84
908,6,2.0,4359.34
908,15,4.9,1282.16
909,5,3.0,15132.07
912,2,1.8,3481.94
914,15,3.1,1075.71
915,4,2.7,85405.06
915,3,1.9,1328.52
916,8,1.2,8145.2
917,1,1.8,27323.37
919,6,1.7,6310.62
919,1,4.5,33409.16
919,9,3.1,44545.54
921,13,4.0,90424.86
922,4,1.5,87372.41
929,14,3.8,46007.31
934,14,3.1,26007.35
934,10,4.2,118215.22
935,12,1.4,5617.29
935,6,1.6,3978.91
935,2,1.4,1497.94
936,10,4.5,141873.93
936,14,2.0,31212.26
936,15,3.8,1418.74
942,9,2.0,54106.82
943,11,4.5,2000.71
949,8,1.7,13472.47
949,12,1.3,10777.98
950,11,2.4,3757.26
953,15,3.6,1199.63
955,5,2.4,18632.82
955,11,2.5,2445.56
957,6,2.6,6780.72
959,7,4.8,8472.83
960,10,3.4,245531.64
963,11,4.6,2028.28
963,2,4.0,1545.36
964,9,4.7,33737.02
967,8,1.6,9654.09
969,11,1.9,3002.41
970,3,3.8,2623.32
971,15,3.5,2699.34
973,12,4.3,4753.56
974,8,3.6,6150.4
978,11,3.0,2075.43
978,7,2.7,4694.42
984,14,3.7,30588.77
987,4,3.5,97674.71
990,1,3.9,29186.23
990,4,5.0,116744.93
991,4,1.1,113044.52
991,15,3.9,1570.06
992,3,2.2,2117.35
992,13,1.5,71838.73
994,15,1.9,1868.3
995,8,3.2,11715.83
995,10,3.6,195263.82
996,4,3.8,132401.53
996,3,4.0,2059.58
1005,3,2.6,2819.65
1005,10,4.4,251754.8
1006,7,1.5,9830.4
1008,2,1.7,3260.2
1008,3,2.4,2852.67
1009,15,2.7,1128.56
1011,1,4.0,20253.16
1014,2,3.3,1428.73
1014,7,4.9,4241.54
1014,15,1.1,1116.2
1017,12,4.7,5938.89
1020,11,3.5,2151.47
1021,2,3.6,1721.87
1029,8,3.3,8813.37
1030,6,2.6,6105.52
1034,10,2.3,181573.35
1034,1,4.0,32683.2
1034,15,4.6,1815.73
1037,1,2.5,40504.6
1037,7,2.4,8550.97
1037,11,3.7,3780.43
1042,15,4.2,2272.94
1043,9,3.0,61714.45
1043,7,3.3,9771.45
1044,1,2.9,48114.53
1044,7,2.1,10157.51
1045,9,2.4,57494.45
1046,4,3.4,74346.24
1048,8,2.5,6386.42
1048,14,4.0,23416.86
1048,7,1.7,4044.73
1051,10,2.0,101071.17
1053,11,3.5,1821.07
1057,3,1.5,1488.77
1060,4,3.8,112640.03
1060,1,2.4,28160.01
1060,14,3.2,34417.79
1061,15,2.5,1484.21
1064,13,4.8,54306.57
1066,3,3.8,1919.81
1066,8,1.0,10284.69
1068,1,1.6,31360.02
1070,5,2.7,22465.66
1071,4,4.5,121006.98
1071,14,1.7,36974.36
1075,15,2.4,1918.85
1075,5,3.4,24561.3
1075,1,1.3,34539.33
1076,12,3.2,9689.77
1078,12,1.2,9901.9
1080,9,2.1,49824.73
1080,4,2.8,149474.18
1084,14,1.3,57537.01
1085,13,3.4,91991.25
1086,12,4.5,5046.16
1086,8,1.1,6307.7
1086,7,3.2,3994.88
1087,2,3.8,1397.99
1089,11,1.2,1896.16
1089,10,1.1,112866.41
1091,2,4.5,1279.22
1092,6,2.2,3839.26
1097,4,2.4,97701.48
1099,6,1.9,5162.09
1099,5,1.5,19433.77
1100,7,4.9,5585.63
1104,5,1.6,20476.51
1104,8,3.9,9598.37
1104,3,1.9,1791.69
1105,15,2.2,1622.65
1106,14,2.8,38983.72
1107,4,2.9,121728.59
1109,1,2.3,33382.04
1112,1,2.1,38329.83
1115,1,4.7,37596.29
1115,15,1.0,2088.68
1117,15,4.9,2103.29
1117,4,3.7,151436.6
1118,4,2.6,170293.05
1118,13,3.8,89876.89
1118,7,3.5,8987.69
1121,11,1.8,4153.03
1123,14,3.8,24934.29
1124,11,4.6,1951.48
1127,10,1.1,109575.96
1130,3,4.2,1571.39
1130,7,4.4,5331.49
1138,12,2.5,9646.12
1139,3,4.6,2389.34
1140,3,2.3,2509.87
1143,11,4.8,1560.39
1147,9,1.8,32289.36
1147,12,1.4,6457.87
1148,11,1.1,2349.35
1148,12,3.0,6712.42
1151,4,3.4,125378.3
1157,1,2.8,41310.86
1158,2,2.2,2942.77
1158,11,1.7,3862.39
1163,10,3.8,107694.78
1164,1,3.7,20323.2
1166,2,2.6,1470.18
1167,12,3.6,6025.32
1170,4,1.6,90013.78
1171,14,3.4,33189.13
1171,6,3.6,5129.23
1171,5,1.9,19310.04
1174,10,4.6,192091.49
1175,9,1.9,44440.46
1176,5,4.1,24777.31
1178,15,3.2,2202.14
1179,12,2.1,11522.54
1180,11,3.7,4005.72
1182,8,2.8,16396.72
1185,13,3.2,42674.41
1185,4,2.0,80856.78
1185,5,5.0,14374.54
1186,4,3.7,76091.74
1193,2,2.8,1948.58
1193,15,3.0,1522.33
1197,3,1.8,1945.32
1199,9,3.2,50853.6
1205,6,1.3,4194.8
1205,11,3.9,2072.72
1208,12,4.9,6847.49
1210,11,4.0,2849.65
1210,8,2.2,10177.33
1211,9,2.0,48177.1
1213,5,3.2,27457.07
1213,7,4.8,8151.32
1215,8,2.3,6596.51
1218,11,3.2,2401.97
1218,2,2.6,1830.07
1218,5,1.8,18300.75
1219,7,2.9,5293.65
1227,13,2.1,47092.67
1228,6,2.0,4814.43
1230,9,3.7,43254.15
1232,3,3.2,2875.24
1232,13,1.3,97552.81
1233,15,4.8,1016.39
1234,12,1.2,5107.34
1235,15,2.7,1252.83
1237,4,4.2,104294.48
1237,5,3.5,18541.24
1238,15,4.9,2022.44
1238,7,1.5,7685.26
1240,1,2.6,46462.98
1240,5,4.4,33040.34
1241,12,3.1,4917.81
1241,15,3.7,1024.54
1241,8,1.5,6147.26
1245,8,1.6,7937.62
1246,15,3.1,1480.51
1246,4,3.8,106597.04
1249,7,1.6,7415.77
1251,10,4.6,227981.33
1256,13,4.5,60817.22
1262,13,1.4,84049.83
1263,10,2.7,110471.8
1263,1,2.8,19884.92
1265,9,2.1,34919.39
1267,4,3.3,133353.99
1269,13,1.5,71452.58
1269,11,4.9,3158.96
1270,5,3.5,28609.23
1270,7,3.0,8493.36
1271,6,2.6,8520.1
1273,9,4.0,23293.13
1275,5,2.4,16824.83
1276,4,3.3,104906.85
1276,6,3.7,4953.93
1277,8,4.7,9929.49
1279,2,2.7,2823.59
1279,1,2.9,39706.73
1282,9,1.9,25912.45
1283,1,4.9,20894.17
1286,9,3.0,44792.74
1286,3,3.7,2090.33
1287,8,1.6,13445.37
1287,12,1.1,10756.3
1290,6,1.7,3313.77
1292,5,4.8,15772.71
1293,10,2.3,111595.7
1295,12,4.0,5838.77
1295,15,4.1,1216.41
1296,3,3.9,1677.88
1296,4,1.9,107863.84
1297,9,4.2,36909.86
1297,8,3.9,9227.46
1299,14,1.3,35617.5
1300,10,4.3,183472.46
1311,14,1.8,23620.05
1313,12,1.4,5681.61
1313,2,1.2,1515.1
1313,8,3.1,7102.01
1314,8,1.1,7524.28
1315,3,3.5,1535.92
1317,12,4.5,7704.12
1317,14,1.5,35310.54
1321,4,1.9,146639.33
1322,15,1.7,2054.83
1324,1,1.7,42452.05
1333,11,1.9,2484.74
1335,7,4.4,6812.78
1336,6,4.4,6679.07
1336,3,1.7,2200.17
1338,9,4.9,45671.26
1342,3,1.0,2875.84
1344,4,2.0,80913.64
1345,6,2.8,4227.57
1346,9,2.8,28025.58
1347,5,2.2,17300.43
1347,4,1.3,97314.93
1347,2,2.5,1730.04
1350,9,4.6,33372.35
1350,8,1.9,8343.09
1351,11,2.4,2930.88
1352,2,4.8,2126.97
1352,7,1.3,6314.43
1352,12,4.0,7976.12
1356,6,2.2,7159.93
1356,15,2.4,2105.86
1359,2,2.2,2647.71
1362,15,4.5,2627.02
1362,2,1.3,3362.59
1364,1,1.8,18522.09
1364,14,1.2,22638.11
1365,12,3.2,5097.7
1366,3,3.6,1192.07
1375,11,3.2,3148.8
1377,11,2.3,3393.2
1382,8,2.5,13352.14
1383,2,3.7,3193.54
1383,13,4.0,94808.08
1385,4,1.4,89903.34
1387,2,1.5,1690.01
1398,9,5.0,26113.74
1399,15,3.3,1122.14
1399,7,4.8,4264.14
1399,4,4.4,80794.23
1402,14,1.3,22705.59
1403,4,1.6,81068.53
1404,5,3.7,13013.55
1410,1,4.3,21805.6
1411,9,1.7,28453.5
1411,11,2.4,1991.74
1411,8,1.9,7113.37
1412,1,3.5,20640.85
1412,6,1.8,3898.83
1413,5,1.2,16403.31
1413,3,3.6,1435.29
1415,6,4.8,4398.13
1415,11,1.7,2173.19
1417,6,3.5,3802.75
1422,8,1.0,7268.39
1423,9,3.6,31283.76
1427,4,3.1,109118.19
1428,8,1.3,9139.69
1428,4,2.3,109676.32
1431,10,2.2,138910.08
1431,3,2.0,1555.79
1432,2,3.4,1954.4
1434,3,1.7,1874.33
1441,12,4.4,7906.44
1441,3,3.3,1844.83
1442,3,1.6,2082.84
1442,1,1.3,33474.23
1444,11,3.0,3059.27
1444,7,2.6,6919.77
1444,12,3.6,8740.77
1445,6,3.7,6192.06
1448,11,3.9,3237.94
1448,7,2.8,7323.9
1448,14,1.1,42401.56
1449,15,1.6,1905.29
1449,5,2.2,24387.75
1451,2,3.4,2289.24
1453,1,4.4,32509.79
1453,3,4.0,2022.83
1455,11,4.1,3293.18
1455,9,3.5,47045.45
1459,10,3.8,208607.15
1462,8,1.9,13844.36
1463,10,2.9,222151.68
1463,3,4.6,2488.1
1467,7,3.3,8686.16
1468,4,2.5,150787.99
1473,4,4.1,177757.48
1474,3,4.7,2548.74
1474,12,3.5,10923.17
1474,7,2.6,8647.51
1483,13,3.6,39437.51
1483,4,4.4,74723.69
1484,10,2.3,96309.37
1486,6,2.6,3380.39
1486,8,1.5,5965.39
1496,11,2.4,2059.47
1496,14,3.0,26969.26
1499,9,2.6,28136.53
1501,9,4.2,28919.77
1501,2,2.7,1542.39
1502,14,4.7,25420.49
1502,10,3.9,115547.68
1503,6,1.5,3858.28
1503,4,2.6,81704.75
1505,7,2.0,4523.63
1507,12,4.0,5936.35
1511,8,2.7,8836.72
1515,13,3.9,55061.66
1519,11,1.5,2260.6
1519,7,3.0,5113.25
1523,2,4.5,2069.23
1524,13,2.1,62818.13
1524,12,3.6,7934.92
1524,10,4.2,165310.86
1526,2,2.9,2128.32
1528,11,4.2,2554.31
